First Name,Last Name,Formatted Date
Brian,Campbell,1979-05-23
Bryan,Campbell,1944-03-27
Colin,Campbell,1953-01-28
Darcy,Campbell,1984-05-12
Dave,Campbell,1896-04-27
Don,Campbell,1925-07-12
Earl,Campbell,1900-07-23
Greg,Campbell,1983-12-17
Jack,Campbell,1992-01-09
Jim,Campbell,1973-04-03
Scott,Campbell,1957-06-22
Wade,Campbell,1961-01-02
Tod,Campeau,1923-06-04
Dominic,Campedelli,1964-04-03
Carter,Camper,1988-07-06
Chris,Campoli,1984-07-09
Pat,Cannone,1986-08-09
Kyle,Capobianco,1997-08-13
Frank,Caprice,1962-04-02
Dave,Capuano,1968-07-27
Jack,Capuano,1966-07-07
Luca,Caputi,1988-10-01
Leo,Carbol,1912-06-05
Guy,Carbonneau,1960-03-18
Daniel,Carcillo,1985-01-28
Michael,Carcone,1996-05-19
Mike,Card,1986-02-18
Claude,Cardin,1941-02-17
Ethan,Cardwell,2002-08-30
Steve,Cardwell,1950-08-18
Jim,Carey,1974-05-31
Matt,Carey,1992-02-28
Paul,Carey,1988-09-24
Matt,Carkner,1980-11-03
Terry,Carkner,1966-03-07
Mathieu,Carle,1987-09-30
Matt,Carle,1984-09-25
Wayne,Carleton,1946-08-04
Declan,Carlile,2000-05-18
Brian,Carlin,1950-06-13
Brandon,Carlo,1996-11-26
Jack,Carlson,1954-08-23
John,Carlson,1990-01-10
Kent,Carlson,1962-01-11
Steve,Carlson,1955-08-26
Anders,Carlsson,1960-11-25
Gabriel,Carlsson,1997-01-02
Leo,Carlsson,2004-12-26
Lucas,Carlsson,1997-07-05
Randy,Carlyle,1956-04-19
Patrik,Carnback,1968-02-01
Keith,Carney,1970-02-03
Alain,Caron,1938-04-27
Jacques,Caron,1940-04-21
Jordan,Caron,1990-11-02
Sebastien,Caron,1980-06-25
Bobby,Carpenter,1963-07-13
Eddie,Carpenter,1890-06-15
Ryan,Carpenter,1991-01-18
Alfred,Carr,1916-12-29
Daniel,Carr,1991-11-01
Gene,Carr,1951-09-17
Lorne,Carr,1910-07-02
Connor,Carrick,1994-04-13
Sam,Carrick,1992-02-04
Trevor,Carrick,1994-07-04
Alexandre,Carrier,1996-10-08
William,Carrier,1994-12-20
Larry,Carriere,1952-01-30
Gene,Carrigan,1907-07-05
Billy,Carroll,1959-01-19
George,Carroll,1897-06-03
Greg,Carroll,1956-11-10
Dwight,Carruthers,1944-11-07
Bill,Carse,1914-05-29
Bob,Carse,1919-07-19
Bill,Carson,1900-11-25
Brett,Carson,1985-11-29
Frank,Carson,1902-01-12
Gerald,Carson,1903-10-10
Jimmy,Carson,1968-07-20
Lindsay,Carson,1960-11-21
Anson,Carter,1974-06-06
Billy,Carter,1937-12-02
Jeff,Carter,1985-01-01
John,Carter,1963-05-03
Lyle,Carter,1945-04-29
Ron,Carter,1958-03-14
Ryan,Carter,1983-08-03
Michael,Caruso,1988-07-05
Joe,Carveth,1918-03-21
Jon,Casey,1962-08-29
Seamus,Casey,2004-01-08
Wayne,Cashman,1945-06-24
Mike,Casselman,1968-09-23
Andrew,Cassels,1969-07-23
Bruce,Cassidy,1965-05-20
Tom,Cassidy,1952-03-15
Frederic,Cassivi,1975-06-12
Tony,Cassolato,1956-05-07
Daniel,Catenacci,1993-03-09
Jackson,Cates,1997-09-26
Noah,Cates,1999-02-05
Cole,Caufield,2001-01-02
Jay,Caufield,1960-07-17
Gino,Cavallini,1962-11-24
Paul,Cavallini,1965-10-13
Tom,Cavanagh,1982-03-24
Colby,Cave,1994-12-26
Roman,Cechmanek,1971-03-02
Cody,Ceci,1993-12-21
Peter,Cehlarik,1995-08-02
Mack,Celebrini,2006-06-13
Sebastien,Centomo,1981-03-26
Ray,Ceresino,1929-04-24
Erik,Cernak,1997-05-28
Frantisek,Cernik,1953-06-03
Roman,Cervenka,1985-12-10
Frederic,Chabot,1968-02-12
John,Chabot,1962-05-18
Lorne,Chabot,1900-10-05
Thomas,Chabot,1997-01-30
John,Chad,1919-09-16
Ed,Chadwick,1933-05-08
Mitchell,Chaffee,1998-01-26
William,Chalmers,1934-01-24
Milan,Chalupa,1953-07-04
Erwin,Chamberlain,1915-02-14
Shawn,Chambers,1966-10-11
Andre,Champagne,1943-09-19
Bob,Champoux,1942-12-02
Rene,Chapdelaine,1966-09-27
Art,Chapman,1907-05-29
Blair,Chapman,1956-06-13
Brian,Chapman,1968-02-10
Michael,Chaput,1992-04-09
Zdeno,Chara,1977-03-18
Jose,Charbonneau,1966-11-21
Stephane,Charbonneau,1970-06-27
Bob,Charlebois,1944-05-27
Todd,Charlesworth,1965-03-22
Sebastien,Charpentier,1977-04-18
Eric,Charron,1970-01-14
Guy,Charron,1949-01-24
Dave,Chartier,1961-02-15
Rourke,Chartier,1996-04-03
Brad,Chartrand,1974-12-14
Rick,Chartraw,1954-07-13
Kelly,Chase,1967-10-25
Denis,Chasse,1970-02-07
Jalen,Chatfield,1996-05-15
Vladimir,Chebaturkin,1975-04-23
Lude,Check,1918-05-22
Jonathan,Cheechoo,1980-07-15
Gerry,Cheevers,1940-09-02
Ivan,Chekhovich,1999-01-04
Chris,Chelios,1962-01-25
Jake,Chelios,1991-03-08
Mike,Chernoff,1946-05-13
Rich,Chernomaz,1963-09-01
Dick,Cherry,1937-03-28
Don,Cherry,1934-02-05
Denis,Chervyakov,1970-04-20
Tim,Cheveldae,1968-02-15
Real,Chevrefils,1932-05-02
Alain,Chevrier,1961-04-23
Ben,Chiarot,1991-05-09
Alex,Chiasson,1990-10-01
Steve,Chiasson,1967-04-14
Igor,Chibirev,1968-04-19
Andrei,Chibisov,1993-02-26
Nikita,Chibrikov,2003-02-16
Dan,Chicoine,1957-11-30
Jason,Chimera,1979-05-02
Yegor,Chinakhov,2001-02-01
Rick,Chinnick,1953-08-15
Andy,Chiodo,1983-04-24
Kyle,Chipchura,1986-02-19
Ron,Chipperfield,1954-03-28
Art,Chisholm,1934-11-11
Colin,Chisholm,1963-02-25
Declan,Chisholm,2000-01-12
Lex,Chisholm,1915-04-01
Stanislav,Chistov,1983-04-17
Filip,Chlapik,1997-06-03
Sasha,Chmelevski,1999-06-09
Dennis,Cholowski,1998-02-15
Marc,Chorney,1959-11-08
Taylor,Chorney,1987-04-27
Tom,Chorske,1966-09-18
Eric,Chouinard,1980-07-08
Guy,Chouinard,1956-10-20
Jean,Chouinard,1907-01-05
Marc,Chouinard,1977-05-06
Mathieu,Chouinard,1980-04-11
Erik,Christensen,1983-12-17
Dave,Christian,1959-05-13
Jeff,Christian,1970-07-30
Jake,Christiansen,1999-09-12
Mike,Christie,1949-12-20
Ryan,Christie,1978-07-03
Steve,Christoff,1958-01-23
Magnus,Chrona,2000-08-28
Bob,Chrystal,1930-04-30
Artem,Chubarov,1979-12-13
Kris,Chucko,1986-03-13
Brad,Church,1976-11-14
Jack,Church,1915-05-24
Shane,Churla,1965-06-24
Jakob,Chychrun,1998-03-31
Jeff,Chychrun,1966-05-03
Dean,Chynoweth,1968-10-30
Filip,Chytil,1999-09-05
Dave,Chyzowski,1971-07-11
Peter,Ciavaglia,1969-07-15
Martin,Cibak,1980-05-17
Dino,Ciccarelli,1960-02-08
Enrico,Ciccone,1970-04-10
Nick,Cicek,2000-05-29
Chris,Cichocki,1963-09-17
Ivan,Ciernik,1977-10-30
Jozef,Cierny,1974-05-13
Hank,Ciesla,1934-10-15
Zdeno,Ciger,1969-10-19
Tony,Cimellaro,1971-06-14
Robert,Cimetta,1970-02-15
Joe,Cirella,1963-05-09
Anthony,Cirelli,1997-07-15
Jason,Cirone,1971-02-21
Marian,Cisar,1978-02-25
Casey,Cizikas,1991-02-27
Kim,Clackson,1955-02-13
Fredrik,Claesson,1992-11-24
Kale,Clague,1998-06-05
Francis,Clancy,1903-02-25
Terry,Clancy,1943-04-02
Aubrey,Clapper,1907-02-01
Brett,Clark,1976-12-23
Chris,Clark,1976-03-08
Dan,Clark,1957-11-03
Dean,Clark,1964-01-16
Gordie,Clark,1952-05-31
Mat,Clark,1990-10-17
Wendel,Clark,1966-10-25
Bobby,Clarke,1949-08-13
Brandt,Clarke,2003-02-09
Dale,Clarke,1978-03-23
Graeme,Clarke,2001-04-24
Noah,Clarke,1979-06-11
David,Clarkson,1984-03-31
Greg,Classen,1977-08-24
Daniel,Cleary,1978-12-18
Odie,Cleghorn,1891-09-19
Sprague,Cleghorn,1890-03-11
Bill,Clement,1950-12-20
Scott,Clemmensen,1977-07-23
Adam,Clendening,1992-10-26
Marc-Andre,Cliche,1987-03-23
Chris,Clifford,1966-05-26
Kyle,Clifford,1991-01-13
Connor,Clifton,1995-04-28
Matt,Climie,1983-02-11
Bruce,Cline,1931-11-14
Steve,Clippingdale,1956-04-29
Grant,Clitsome,1985-04-14
Dan,Cloutier,1976-04-22
Jacques,Cloutier,1960-01-03
Real,Cloutier,1956-07-30
Rejean,Cloutier,1960-02-15
Roland,Cloutier,1957-10-06
Sylvain,Cloutier,1974-02-13
Ryane,Clowe,1982-09-30
Richard,Clune,1987-04-25
Wally,Clune,1931-02-20
Nathan,Clurman,1998-05-08
Cal,Clutterbuck,1987-11-18
Ben,Clymer,1978-04-11
Gary,Coalter,1950-07-08
Steve,Coates,1950-07-27
Braydon,Coburn,1985-02-27
Glen,Cochrane,1958-01-29
Paul,Coffey,1961-06-01
Hugh,Coflin,1928-12-15
Dylan,Coghlan,1998-02-19
Andrew,Cogliano,1987-06-14
Colby,Cohen,1989-04-25
Carlo,Colaiacovo,1983-01-27
Sam,Colangelo,2001-12-26
Joe,Colborne,1990-01-30
Danton,Cole,1967-01-10
Erik,Cole,1978-11-06
Ian,Cole,1989-02-21
Blake,Coleman,1991-11-28
Gerald,Coleman,1985-04-03
Kevin,Colley,1979-01-04
Tom,Colley,1953-08-21
Norman,Collings,1910-05-06
Bill,Collins,1943-07-13
Gary,Collins,1935-09-27
Rob,Collins,1978-03-15
Sean,Collins,1983-10-30
Sean,Collins,1988-12-29
Jeremy,Colliton,1985-01-13
Bob,Collyard,1949-10-16
Mike,Colman,1968-08-04
Ross,Colton,1996-09-11
Mac,Colville,1916-01-08
Neil,Colville,1914-08-04
Les,Colvin,1921-02-08
Les,Colwill,1935-01-01
Blake,Comeau,1986-02-18
Rey,Comeau,1948-10-25
Drew,Commesso,2002-07-19
Mike,Commodore,1979-11-07
JT,Compher,1995-04-08
Eric,Comrie,1995-07-06
Mike,Comrie,1980-09-11
Paul,Comrie,1977-02-07
Maxime,Comtois,1999-01-08
Brian,Conacher,1941-08-31
Charlie,Conacher,1909-12-10
Cory,Conacher,1989-12-14
Jim,Conacher,1921-05-05
Lionel,Conacher,1901-05-24
Pat,Conacher,1959-05-01
Pete,Conacher,1932-07-29
Roy,Conacher,1916-10-05
Tim,Conboy,1982-03-22
Mike,Condon,1990-04-27
Lucas,Condotta,1997-11-06
Erik,Condra,1986-08-06
Ty,Conklin,1976-03-30
Maitland,Conn,1904-10-25
Rob,Conn,1968-09-03
Kevin,Connauton,1990-02-23
Alec,Connell,1902-02-08
Bert,Connelly,1909-04-22
Wayne,Connelly,1939-12-16
Chris,Conner,1983-12-23
Brett,Connolly,1992-05-02
Mike,Connolly,1989-07-03
Tim,Connolly,1981-05-07
Cam,Connor,1954-08-10
Harry,Connor,1904-12-03
Kyle,Connor,1996-12-09
Bobby,Connors,1904-10-19
Al,Conroy,1966-01-17
Craig,Conroy,1971-09-04
Joe,Contini,1957-01-29
Brandon,Convery,1974-02-04
Eddie,Convey,1910-12-16
Alex,Cook,1907-11-15
Bill,Cook,1898-10-08
Bob,Cook,1946-01-06
Frederick,Cook,1904-09-18
Lloyd,Cook,1890-03-21
Tom,Cook,1907-05-07
Matt,Cooke,1978-09-07
Devin,Cooley,1997-05-25
Logan,Cooley,2004-05-04
Carson,Cooper,1899-07-17
David,Cooper,1973-11-02
Ed,Cooper,1960-08-28
Hal,Cooper,1915-08-29
Joe,Cooper,1914-12-14
Pheonix,Copley,1992-01-18
Andrew,Copp,1994-07-08
Bob,Copp,1918-11-15
Carl,Corazzini,1979-04-21
Bert,Corbeau,1894-02-09
Rene,Corbet,1973-06-25
Mike,Corbett,1942-10-04
Norm,Corcoran,1931-08-15
Jared,Coreau,1991-11-05
Bob,Corkum,1967-12-18
Lukas,Cormier,2002-03-27
Patrice,Cormier,1990-06-14
Roger,Cormier,1905-03-23
Philippe,Cornet,1990-03-28
Mark,Cornforth,1972-11-13
Matt,Coronato,2002-11-14
Frankie,Corrado,1993-03-26
Matt,Corrente,1988-03-17
Charles,Corrigan,1916-05-22
Mike,Corrigan,1946-01-11
Chris,Corrinet,1978-10-29
Andre,Corriveau,1928-05-15
Yvon,Corriveau,1967-02-08
Jim,Corsi,1954-06-09
Daniel,Corso,1978-04-03
Shayne,Corson,1966-08-13
Joe,Corvo,1977-06-20
Ross,Cory,1957-02-04
Sebastian,Cossa,2002-11-21
Jacques,Cossette,1954-06-20
Les,Costello,1928-02-16
Murray,Costello,1934-02-24
Rich,Costello,1963-06-27
Alain,Cote,1957-05-03
Alain,Cote,1967-04-14
Jean-Philippe,Cote,1982-04-22
Patrick,Cote,1975-01-24
Ray,Cote,1961-05-31
Riley,Cote,1982-03-16
Sylvain,Cote,1966-01-19
Paul,Cotter,1999-11-16
Harold,Cotton,1902-11-05
John,Coughlin,1892-06-06
Tim,Coulis,1958-02-24
Patrick,Coulombe,1985-04-23
D'Arcy,Coulson,1908-02-17
Arthur,Coulter,1909-05-31
Neal,Coulter,1963-01-02
Yvan,Cournoyer,1943-11-22
Maurice,Courteau,1920-02-18
Yves,Courteau,1964-04-25
Ed,Courtenay,1968-02-02
Geoff,Courtnall,1962-08-18
Russ,Courtnall,1965-01-02
Larry,Courville,1975-04-02
Marcel,Cousineau,1973-04-30
Nick,Cousins,1993-07-20
Billy,Coutu,1892-03-01
Gerry,Couture,1925-08-06
Logan,Couture,1989-03-28
Rosario,Couture,1905-07-24
Sean,Couturier,1992-12-07
Sylvain,Couturier,1968-04-23
Jeff,Cowan,1976-09-27
Jared,Cowen,1991-01-25
Bruce,Cowick,1951-08-18
Rob,Cowie,1967-11-03
Bill,Cowley,1912-06-12
Wayne,Cowley,1964-12-04
Abby,Cox,1904-07-19
Danny,Cox,1903-10-12
Craig,Coxe,1964-01-21
Charlie,Coyle,1992-03-02
Dylan,Cozens,2001-02-09
Joey,Crabb,1983-04-03
Adam,Cracknell,1985-07-15
Jim,Craig,1957-05-31
Mike,Craig,1971-06-06
Ryan,Craig,1982-01-06
John,Craighead,1971-11-23
Dale,Craigwell,1971-04-24
Joseph,Cramarossa,1992-10-26
Bart,Crashley,1946-06-15
Murray,Craven,1964-07-25
Bob,Crawford,1959-04-06
Bobby,Crawford,1960-05-27
Corey,Crawford,1984-12-31
Jack,Crawford,1916-10-26
Lou,Crawford,1962-11-05
Marc,Crawford,1961-02-13
Rusty,Crawford,1885-11-07
Adam,Creighton,1965-06-02
Dave,Creighton,1930-06-24
Jimmy,Creighton,1905-11-18
Andrew,Crescenzi,1992-07-29
Dave,Cressman,1950-01-02
Glen,Cressman,1934-08-29
Louis,Crevier,2001-05-04
Jiri,Crha,1950-04-13
Kyle,Criscuolo,1992-05-05
Terry,Crisp,1943-05-28
Ed,Cristofoli,1967-05-14
Maurice,Croghan,1914-11-19
B.J.,Crombeen,1985-07-10
Mike,Crombeen,1957-04-16
Shawn,Cronin,1963-08-20
Angus,Crookshank,1999-10-02
Sidney,Crosby,1987-08-07
Cory,Cross,1971-01-03
Tommy,Cross,1989-09-12
Stanley,Crossett,1900-04-18
Doug,Crossman,1960-06-30
Gary,Croteau,1946-06-20
Cameron,Crotty,1999-05-05
Lawson,Crouse,1997-06-23
Bruce,Crowder,1957-03-25
Keith,Crowder,1959-01-06
Troy,Crowder,1968-05-03
Phil,Crowe,1970-04-14
Mike,Crowley,1975-07-04
Ted,Crowley,1970-05-03
Greg,Crozier,1976-07-06
Joe,Crozier,1929-02-19
Maxwell,Crozier,2000-04-19
Roger,Crozier,1942-03-16
Nels,Crutchfield,1911-07-12
Wilf,Cude,1910-07-04
Jim,Culhane,1965-03-13
Barry,Cullen,1935-06-16
Brian,Cullen,1933-11-11
David,Cullen,1976-12-30
John,Cullen,1964-08-02
Mark,Cullen,1978-10-28
Matt,Cullen,1976-11-02
Ray,Cullen,1941-09-20
Jassen,Cullimore,1972-12-04
Tyler,Cuma,1990-01-19
Kyle,Cumiskey,1986-12-02
Barry,Cummins,1949-01-25
Jim,Cummins,1970-05-17
Mark,Cundari,1990-04-23
Randy,Cunneyworth,1961-05-10
Bob,Cunningham,1941-02-26
Craig,Cunningham,1990-09-13
Jim,Cunningham,1956-08-15
Les,Cunningham,1913-10-04
Bill,Cupolo,1924-01-08
Brian,Curran,1963-11-05
Dan,Currie,1968-03-15
Glen,Currie,1958-07-18
Hugh,Currie,1925-10-22
Josh,Currie,1992-10-29
Tony,Currie,1957-11-12
Floyd,Curry,1925-08-11
John,Curry,1984-02-27
Tony,Curtale,1963-01-29
Paul,Curtis,1947-09-29
Ian,Cushenan,1933-11-29
Jean,Cusson,1942-10-05
Jakub,Cutta,1981-12-29
Don,Cutts,1956-02-24
Will,Cuylle,2002-02-05
Claude,Cyr,1939-03-27
Denis,Cyr,1961-02-04
Paul,Cyr,1963-10-31
Austin,Czarnik,1992-12-12
Mariusz,Czerkawski,1972-04-13
Kevin,Czuczman,1991-01-09
